order_id,product_id,quantity,sales,last_updated_at
3502,873,3,65.23,12/13/2024
3502,69,3,207,12/13/2024
1516,1680,2,600.53,12/13/2024
1516,522,2,59.9,12/13/2024
1516,1562,8,637.44,12/13/2024
1516,247,3,51.76,12/13/2024
660,1040,6,31.1,12/13/2024
660,620,5,47.96,12/13/2024
660,1540,7,158.93,12/13/2024
660,426,6,211.25,12/13/2024
660,1430,2,5.55,12/13/2024
660,956,1,2.95,12/13/2024
892,768,3,10.33,12/13/2024
5005,738,4,18.37,12/13/2024
4923,1750,2,299.9,12/13/2024
2747,875,9,26.55,12/13/2024
2747,1467,2,111.98,12/13/2024
4474,277,2,4.93,12/13/2024
4474,991,3,11.78,12/13/2024
4201,532,3,7.98,12/13/2024
911,888,2,180.96,12/13/2024
4998,1578,5,1649.95,12/13/2024
4998,60,3,362.35,12/13/2024
4246,1807,2,73.58,12/13/2024
3516,327,4,486.37,12/13/2024
2142,1139,5,32.4,12/13/2024
2142,772,7,41.86,12/13/2024
2142,765,2,77.56,12/13/2024
2464,519,9,37.17,12/13/2024
787,1406,3,137.35,12/13/2024
787,338,3,376.51,12/13/2024
4748,216,4,62.72,12/13/2024
4748,1733,7,2939.93,12/13/2024
714,85,3,512.36,12/13/2024
714,921,2,3.49,12/13/2024
714,573,7,22.29,12/13/2024
714,1133,3,16.03,12/13/2024
3423,487,1,1.75,12/13/2024
3423,478,8,20.99,12/13/2024
3480,1421,1,11.21,12/13/2024
1369,590,2,45.04,12/13/2024
4652,725,2,15.62,12/13/2024
2181,391,2,8.74,12/13/2024
2181,1110,5,44.75,12/13/2024
3687,1340,5,61.68,12/13/2024
3687,1747,3,158.38,12/13/2024
2882,718,4,2.86,12/13/2024
2882,816,7,94.19,12/13/2024
3172,1103,3,143.7,12/13/2024
3172,1287,1,6.48,12/13/2024
3078,1536,4,7.88,12/13/2024
2526,1421,1,11.21,12/13/2024
2526,94,5,354.9,12/13/2024
2526,1132,3,17.94,12/13/2024
2526,835,4,51.8,12/13/2024
4033,729,9,299.52,12/13/2024
1724,609,2,7.7,12/13/2024
626,1094,4,23.92,12/13/2024
626,1562,5,498,12/13/2024
3510,112,6,436.7,12/13/2024
715,1170,5,32.4,12/13/2024
3626,468,3,61.44,12/13/2024
2206,1341,7,73.36,12/13/2024
4320,1011,5,59.2,12/13/2024
4320,185,3,32.95,12/13/2024
4320,55,3,218.38,12/13/2024
4384,244,5,31.4,12/13/2024
4384,225,1,9.48,12/13/2024
4384,1726,10,209.5,12/13/2024
4384,173,5,24.3,12/13/2024
4384,1187,1,6.48,12/13/2024
3446,297,2,32.45,12/13/2024
3446,788,4,26.39,12/13/2024
3446,361,5,373.47,12/13/2024
3446,731,5,64.2,12/13/2024
3446,925,2,8,12/13/2024
2692,153,3,186.54,12/13/2024
141,1325,7,87.08,12/13/2024
141,1710,2,105.58,12/13/2024
141,1566,6,217.44,12/13/2024
3751,541,2,31.74,12/13/2024
3751,379,2,5.43,12/13/2024
3751,353,5,913.43,12/13/2024
3751,1383,3,372.14,12/13/2024
3561,1790,2,751.98,12/13/2024
3941,1770,4,604.77,12/13/2024
129,1457,4,27.36,12/13/2024
129,1030,2,20.56,12/13/2024
129,820,5,83.92,12/13/2024
1995,358,3,902.71,12/13/2024
2706,37,2,120.67,12/13/2024
752,708,1,4.98,12/13/2024
1917,262,3,82.26,12/13/2024
2521,1306,1,29.74,12/13/2024
1579,473,6,87.36,12/13/2024
1579,693,6,56.16,12/13/2024
3924,403,1,64.38,12/13/2024
1623,1372,1,64.78,12/13/2024
1623,1220,3,15.55,12/13/2024
1623,882,7,223.89,12/13/2024
52,1118,3,10.9,12/13/2024
2241,1828,2,84.78,12/13/2024
2689,69,4,241.5,12/13/2024
2392,1569,3,59.97,12/13/2024
2392,1264,2,13.36,12/13/2024
3558,713,3,11.81,12/13/2024
1456,1354,1,16.24,12/13/2024
1456,1342,5,77.55,12/13/2024
478,471,2,76.12,12/13/2024
1745,912,6,17.18,12/13/2024
3870,1137,2,11.76,12/13/2024
3024,185,2,27.46,12/13/2024
2356,1695,3,137.94,12/13/2024
2356,211,5,111.15,12/13/2024
2356,442,3,901.95,12/13/2024
2356,328,3,366.01,12/13/2024
616,1089,7,310.69,12/13/2024
4245,809,5,7.68,12/13/2024
3199,79,2,155.37,12/13/2024
1247,1305,1,10.74,12/13/2024
937,725,5,232.4,12/13/2024
937,108,3,164.65,12/13/2024
937,1259,2,22.68,12/13/2024
2538,1168,4,105.52,12/13/2024
3604,253,4,83.92,12/13/2024
3604,1540,5,141.9,12/13/2024
3604,175,2,39.98,12/13/2024
3604,519,7,28.91,12/13/2024
3604,610,5,174.95,12/13/2024
1250,817,4,110.53,12/13/2024
2183,335,4,630.02,12/13/2024
2632,588,7,27.86,12/13/2024
3450,343,4,933.41,12/13/2024
2431,1151,10,51.84,12/13/2024
2431,1552,3,165.6,12/13/2024
2961,1052,3,106.32,12/13/2024
3163,822,5,147.92,12/13/2024
3163,1312,3,104.28,12/13/2024
3163,367,1,286.85,12/13/2024
3163,1315,4,66.96,12/13/2024
3163,1584,2,199.98,12/13/2024
3806,1528,3,45,12/13/2024
3806,912,5,17.9,12/13/2024
3806,290,2,40.48,12/13/2024
3806,30,5,2154.9,12/13/2024
2282,809,8,18.43,12/13/2024
1168,1457,2,10.94,12/13/2024
4136,1441,2,4.36,12/13/2024
4870,1586,6,62.35,12/13/2024
1985,315,5,303.92,12/13/2024
4226,1351,2,129.3,12/13/2024
3910,262,10,274.2,12/13/2024
4258,904,4,6.05,12/13/2024
4258,1279,2,6.85,12/13/2024
4258,159,5,9.96,12/13/2024
4258,712,2,8.55,12/13/2024
1481,807,11,45.58,12/13/2024
980,1541,2,25.49,12/13/2024
115,797,4,136.96,12/13/2024
3086,1696,2,49.62,12/13/2024
2605,1184,3,10.58,12/13/2024
3726,1168,4,84.42,12/13/2024
4671,1855,2,431.94,12/13/2024
4671,764,1,2.04,12/13/2024
4671,1782,3,68.24,12/13/2024
3318,326,4,240.74,12/13/2024
3318,319,4,35,12/13/2024
3318,150,2,210.68,12/13/2024
3318,377,3,637.9,12/13/2024
3318,1234,8,43.44,12/13/2024
3318,441,1,2.22,12/13/2024
390,1733,5,1679.96,12/13/2024
2091,98,4,344.37,12/13/2024
2091,1359,3,1554.94,12/13/2024
2091,311,5,127.88,12/13/2024
2539,1755,2,222.38,12/13/2024
4812,66,3,106.87,12/13/2024
4812,824,3,3.56,12/13/2024
320,731,3,25.68,12/13/2024
320,735,3,12.38,12/13/2024
553,742,5,25.3,12/13/2024
553,1310,3,95.94,12/13/2024
1693,974,2,7.5,12/13/2024
12,1813,3,302.38,12/13/2024
1385,1547,4,46.69,12/13/2024
1020,1350,3,17.94,12/13/2024
819,383,3,370.14,12/13/2024
2775,736,2,8.93,12/13/2024
4706,341,6,2678.94,12/13/2024
4867,16,4,387.14,12/13/2024
4867,1540,2,45.41,12/13/2024
4867,144,3,77.95,12/13/2024
4867,947,1,3,12/13/2024
1697,1325,1,9.95,12/13/2024
4182,828,4,37.9,12/13/2024
4182,1087,2,65.58,12/13/2024
3505,1251,1,44.78,12/13/2024
1408,1684,4,1035.8,12/13/2024
3971,558,2,5.76,12/13/2024
4567,1250,2,19.98,12/13/2024
126,1841,2,35.98,12/13/2024
2295,533,3,16.66,12/13/2024
4811,965,2,20.7,12/13/2024
2110,844,5,83.7,12/13/2024
3646,237,10,199.8,12/13/2024
3304,1074,2,45.68,12/13/2024
3304,1089,2,110.96,12/13/2024
3304,1081,3,11.94,12/13/2024
2617,1640,5,8749.95,12/13/2024
2617,745,8,36.4,12/13/2024
2617,195,7,18.69,12/13/2024
2949,918,3,5.94,12/13/2024
912,1023,8,60.74,12/13/2024
912,1616,3,479.98,12/13/2024
912,676,1,6.08,12/13/2024
2362,1552,3,165.6,12/13/2024
796,491,3,59.52,12/13/2024
796,1521,3,479.97,12/13/2024
796,1429,2,18.62,12/13/2024
796,704,6,49.63,12/13/2024
796,1140,2,97.82,12/13/2024
833,1701,2,15.98,12/13/2024
833,107,3,184.75,12/13/2024
747,1221,2,12.96,12/13/2024
1839,104,4,366.74,12/13/2024
2174,713,9,8.86,12/13/2024
2174,1596,5,27.96,12/13/2024
2174,863,3,146.35,12/13/2024
1277,1601,11,175.23,12/13/2024
1277,1827,1,125.99,12/13/2024
1277,846,2,23,12/13/2024
1754,818,2,25.58,12/13/2024
2383,265,2,73.78,12/13/2024
3628,1194,4,20.74,12/13/2024
1090,591,3,17.52,12/13/2024
1090,545,12,35.76,12/13/2024
2210,565,2,3.64,12/13/2024
3800,227,6,30.34,12/13/2024
3159,229,1,12.99,12/13/2024
3159,113,3,182.22,12/13/2024
3159,133,3,302.94,12/13/2024
2347,220,14,54.99,12/13/2024
4691,1692,1,12.99,12/13/2024
3468,1255,7,55.86,12/13/2024
4023,1847,2,44.38,12/13/2024
4023,259,6,51.26,12/13/2024
4023,836,3,5.19,12/13/2024
4023,1594,2,159.98,12/13/2024
4023,1318,2,54.22,12/13/2024
3560,74,2,241.42,12/13/2024
2578,1049,4,33.36,12/13/2024
2578,1189,2,13.76,12/13/2024
2578,1343,7,496.86,12/13/2024
2578,57,3,389.97,12/13/2024
1696,991,2,9.82,12/13/2024
4342,1529,3,56.4,12/13/2024
1565,790,4,18.31,12/13/2024
1565,1061,5,25.92,12/13/2024
1565,575,3,8.02,12/13/2024
3756,1611,2,479.98,12/13/2024
3756,798,5,30.84,12/13/2024
1563,1336,2,33.57,12/13/2024
1563,69,7,422.62,12/13/2024
454,1594,2,199.98,12/13/2024
2003,290,1,20.24,12/13/2024
2003,272,4,39.92,12/13/2024
2003,675,2,32.54,12/13/2024
1454,1497,3,39,12/13/2024
1454,957,4,12.6,12/13/2024
1138,140,4,24.64,12/13/2024
1076,980,3,6.26,12/13/2024
1076,942,4,14.43,12/13/2024
492,1622,3,719.98,12/13/2024
4735,1488,8,239.92,12/13/2024
1738,345,7,1056.86,12/13/2024
1032,1543,7,447.94,12/13/2024
1032,1365,9,150.41,12/13/2024
2209,1854,3,453.58,12/13/2024
2209,986,9,45.36,12/13/2024
2209,1846,3,287.88,12/13/2024
2209,1866,3,131.88,12/13/2024
2209,145,2,2.33,12/13/2024
2064,63,5,1454.9,12/13/2024
4765,670,3,4.84,12/13/2024
4765,166,6,220.7,12/13/2024
2229,1773,3,67.18,12/13/2024
2229,1072,4,15.23,12/13/2024
4613,1194,6,31.1,12/13/2024
2681,821,7,968.74,12/13/2024
2681,712,13,222.35,12/13/2024
2681,1622,2,479.98,12/13/2024
2675,1244,3,10.27,12/13/2024
259,1686,5,998.85,12/13/2024
1645,1038,2,24.56,12/13/2024
703,904,3,5.67,12/13/2024
2833,394,4,14.34,12/13/2024
2947,296,1,102.3,12/13/2024
3733,377,2,607.52,12/13/2024
3733,1337,2,31.16,12/13/2024
1874,980,1,2.61,12/13/2024
379,261,3,10.33,12/13/2024
379,1039,2,10.37,12/13/2024
379,1586,2,20.78,12/13/2024
379,1315,5,66.96,12/13/2024
71,787,2,17.25,12/13/2024
4875,685,7,11.09,12/13/2024
4043,1577,5,1287.45,12/13/2024
4043,444,5,168.1,12/13/2024
1313,1382,2,51.97,12/13/2024
3716,545,2,4.77,12/13/2024
3341,902,3,7.98,12/13/2024
2842,885,2,18.69,12/13/2024
2842,173,3,11.66,12/13/2024
3991,1543,3,191.98,12/13/2024
3991,1840,4,499.17,12/13/2024
158,824,2,11.88,12/13/2024
158,1052,1,35.44,12/13/2024
4562,820,4,67.14,12/13/2024
501,724,3,4.32,12/13/2024
501,1182,3,14.94,12/13/2024
501,392,2,40.54,12/13/2024
501,701,1,7.31,12/13/2024
4269,1865,7,475.94,12/13/2024
4557,1529,2,30.08,12/13/2024
4557,1552,3,165.6,12/13/2024
4557,1802,5,180.96,12/13/2024
4059,1573,2,23.18,12/13/2024
610,240,2,56.96,12/13/2024
