order_id,order_number,order_date,customer_id,discount,last_updated_at
1,CA-2018-100006,9/7/2018,217,0,12/13/2024
2,CA-2018-100090,7/8/2018,247,0.2,12/13/2024
3,CA-2018-100293,3/14/2018,562,0.2,12/13/2024
4,CA-2018-100328,1/28/2018,345,0.2,12/13/2024
5,CA-2018-100363,4/8/2018,394,0.2,12/13/2024
6,CA-2018-100391,5/25/2018,118,0,12/13/2024
7,CA-2018-100678,4/18/2018,439,0.22,12/13/2024
8,CA-2018-100706,12/16/2018,459,0,12/13/2024
9,CA-2018-100762,11/24/2018,564,0,12/13/2024
10,CA-2018-100860,3/26/2018,182,0,12/13/2024
11,CA-2018-100867,10/19/2018,262,0.2,12/13/2024
12,CA-2018-100881,3/28/2018,237,0.2,12/13/2024
13,CA-2018-100895,6/2/2018,722,0,12/13/2024
14,CA-2018-100916,10/21/2018,284,0,12/13/2024
15,CA-2018-100972,11/19/2018,195,0,12/13/2024
16,CA-2018-101147,12/2/2018,489,0.8,12/13/2024
17,CA-2018-101175,12/9/2018,224,0.2,12/13/2024
18,CA-2018-101266,8/27/2018,526,0,12/13/2024
19,CA-2018-101364,12/22/2018,774,0.2,12/13/2024
20,CA-2018-101392,12/7/2018,58,0,12/13/2024
21,CA-2018-101427,12/26/2018,63,0.2,12/13/2024
22,CA-2018-101462,4/20/2018,103,0,12/13/2024
23,CA-2018-101476,9/12/2018,683,0,12/13/2024
24,CA-2018-101560,11/28/2018,177,0,12/13/2024
25,CA-2018-101602,12/15/2018,494,0.25,12/13/2024
26,CA-2018-101770,3/31/2018,415,0.7,12/13/2024
27,CA-2018-101833,11/17/2018,283,0,12/13/2024
28,CA-2018-101931,10/28/2018,765,0.07,12/13/2024
29,CA-2018-102008,9/30/2018,619,0,12/13/2024
30,CA-2018-102085,10/4/2018,351,0,12/13/2024
31,CA-2018-102274,11/21/2018,206,0,12/13/2024
32,CA-2018-102295,11/24/2018,260,0.2,12/13/2024
33,CA-2018-102330,12/29/2018,36,0.1,12/13/2024
34,CA-2018-102645,1/23/2018,338,0,12/13/2024
35,CA-2018-102652,4/6/2018,63,0,12/13/2024
36,CA-2018-102673,11/1/2018,432,0.2,12/13/2024
37,CA-2018-102869,9/9/2018,456,0.25,12/13/2024
38,CA-2018-102988,4/5/2018,308,0,12/13/2024
39,CA-2018-103058,7/23/2018,19,0,12/13/2024
40,CA-2018-103086,10/17/2018,254,0.6,12/13/2024
41,CA-2018-103100,12/20/2018,7,0,12/13/2024
42,CA-2018-103191,9/22/2018,780,0.2,12/13/2024
43,CA-2018-103219,11/9/2018,84,0,12/13/2024
44,CA-2018-103310,5/10/2018,307,0.1,12/13/2024
45,CA-2018-103317,7/5/2018,227,0.37,12/13/2024
46,CA-2018-103331,8/26/2018,416,0,12/13/2024
47,CA-2018-103366,1/15/2018,260,0,12/13/2024
48,CA-2018-103373,5/18/2018,109,0.4,12/13/2024
49,CA-2018-103401,11/21/2018,310,0,12/13/2024
50,CA-2018-103429,5/30/2018,479,0.05,12/13/2024
51,CA-2018-103492,10/10/2018,164,0.5,12/13/2024
52,CA-2018-103527,9/9/2018,131,0.2,12/13/2024
53,CA-2018-103590,11/30/2018,387,0,12/13/2024
54,CA-2018-103660,8/25/2018,547,0.2,12/13/2024
55,CA-2018-103702,9/12/2018,18,0.7,12/13/2024
56,CA-2018-103744,2/23/2018,506,0.5,12/13/2024
57,CA-2018-103800,1/3/2018,231,0.2,12/13/2024
58,CA-2018-103807,12/2/2018,269,0,12/13/2024
59,CA-2018-103849,5/11/2018,593,0.33,12/13/2024
60,CA-2018-103940,9/17/2018,96,0.05,12/13/2024
61,CA-2018-103989,3/19/2018,491,0.27,12/13/2024
62,CA-2018-104178,8/25/2018,391,0,12/13/2024
63,CA-2018-104269,3/1/2018,191,0.2,12/13/2024
64,CA-2018-104283,6/27/2018,466,0,12/13/2024
65,CA-2018-104402,6/17/2018,199,0,12/13/2024
66,CA-2018-104472,6/2/2018,149,0.1,12/13/2024
67,CA-2018-104563,3/7/2018,164,0.1,12/13/2024
68,CA-2018-104738,12/30/2018,708,0.32,12/13/2024
69,CA-2018-104773,12/8/2018,733,0.2,12/13/2024
70,CA-2018-104780,5/21/2018,115,0,12/13/2024
71,CA-2018-104808,2/4/2018,511,0.2,12/13/2024
72,CA-2018-104829,11/18/2018,368,0,12/13/2024
73,CA-2018-104976,12/9/2018,151,0,12/13/2024
74,CA-2018-105165,9/7/2018,730,0.34,12/13/2024
75,CA-2018-105172,4/4/2018,597,0,12/13/2024
76,CA-2018-105249,11/28/2018,207,0.05,12/13/2024
77,CA-2018-105270,11/11/2018,45,0.1,12/13/2024
78,CA-2018-105340,11/22/2018,263,0.8,12/13/2024
79,CA-2018-105417,1/7/2018,785,0.7,12/13/2024
80,CA-2018-105648,3/3/2018,265,0.2,12/13/2024
81,CA-2018-105872,5/30/2018,366,0.2,12/13/2024
82,CA-2018-105893,11/11/2018,598,0,12/13/2024
83,CA-2018-105984,11/24/2018,550,0.35,12/13/2024
84,CA-2018-106054,1/6/2018,397,0,12/13/2024
85,CA-2018-106229,6/7/2018,575,0.5,12/13/2024
86,CA-2018-106264,12/26/2018,150,0,12/13/2024
87,CA-2018-106376,12/5/2018,107,0.2,12/13/2024
88,CA-2018-106439,10/31/2018,298,0.07,12/13/2024
89,CA-2018-106572,9/5/2018,574,0.2,12/13/2024
90,CA-2018-106719,8/24/2018,626,0.2,12/13/2024
91,CA-2018-106726,12/6/2018,659,0,12/13/2024
92,CA-2018-106803,12/29/2018,201,0,12/13/2024
93,CA-2018-106810,5/14/2018,38,0.2,12/13/2024
94,CA-2018-106971,9/2/2018,94,0.2,12/13/2024
95,CA-2018-107139,7/5/2018,235,0.2,12/13/2024
96,CA-2018-107153,9/28/2018,316,0,12/13/2024
97,CA-2018-107181,2/4/2018,194,0.1,12/13/2024
98,CA-2018-107398,8/25/2018,107,0.7,12/13/2024
99,CA-2018-107454,11/2/2018,634,0,12/13/2024
100,CA-2018-107524,3/2/2018,442,0,12/13/2024
101,CA-2018-107573,12/12/2018,585,0.2,12/13/2024
102,CA-2018-107594,7/2/2018,259,0,12/13/2024
103,CA-2018-107706,2/14/2018,719,0.2,12/13/2024
104,CA-2018-107755,2/7/2018,151,0,12/13/2024
105,CA-2018-107769,10/28/2018,112,0,12/13/2024
106,CA-2018-107811,4/29/2018,448,0.2,12/13/2024
107,CA-2018-107818,9/8/2018,487,0.05,12/13/2024
108,CA-2018-107916,8/24/2018,400,0.1,12/13/2024
109,CA-2018-108147,6/8/2018,631,0.1,12/13/2024
110,CA-2018-108182,2/6/2018,220,0.8,12/13/2024
111,CA-2018-108189,10/2/2018,279,0.2,12/13/2024
112,CA-2018-108273,12/16/2018,264,0.4,12/13/2024
113,CA-2018-108609,10/31/2018,37,0.4,12/13/2024
114,CA-2018-108707,10/24/2018,189,0.2,12/13/2024
115,CA-2018-108861,5/28/2018,525,0.2,12/13/2024
116,CA-2018-108903,10/3/2018,229,0.2,12/13/2024
117,CA-2018-109043,8/15/2018,178,0.2,12/13/2024
118,CA-2018-109127,12/21/2018,347,0,12/13/2024
119,CA-2018-109134,11/5/2018,203,0,12/13/2024
120,CA-2018-109218,6/30/2018,51,0,12/13/2024
121,CA-2018-109232,1/13/2018,559,0,12/13/2024
122,CA-2018-109302,8/12/2018,176,0,12/13/2024
123,CA-2018-109491,2/20/2018,453,0,12/13/2024
124,CA-2018-109680,10/6/2018,784,0,12/13/2024
125,CA-2018-109855,9/1/2018,462,0.1,12/13/2024
126,CA-2018-109890,7/21/2018,592,0,12/13/2024
127,CA-2018-109897,8/12/2018,120,0.1,12/13/2024
128,CA-2018-109904,7/14/2018,79,0,12/13/2024
129,CA-2018-109918,9/7/2018,471,0.07,12/13/2024
130,CA-2018-109932,12/9/2018,784,0.2,12/13/2024
131,CA-2018-110030,12/6/2018,460,0.6,12/13/2024
132,CA-2018-110065,8/5/2018,709,0,12/13/2024
133,CA-2018-110072,10/22/2018,504,0.2,12/13/2024
134,CA-2018-110100,4/25/2018,452,0.2,12/13/2024
135,CA-2018-110184,7/12/2018,83,0.1,12/13/2024
136,CA-2018-110219,5/5/2018,250,0.3,12/13/2024
137,CA-2018-110352,11/23/2018,256,0.2,12/13/2024
138,CA-2018-110408,10/18/2018,55,0,12/13/2024
139,CA-2018-110422,1/21/2018,738,0.2,12/13/2024
140,CA-2018-110527,8/9/2018,256,0,12/13/2024
141,CA-2018-110555,4/11/2018,527,0.07,12/13/2024
142,CA-2018-110611,10/6/2018,351,0.2,12/13/2024
143,CA-2018-110639,8/23/2018,643,0,12/13/2024
144,CA-2018-110786,12/29/2018,38,0.09,12/13/2024
145,CA-2018-110849,4/18/2018,388,0.05,12/13/2024
146,CA-2018-111003,6/1/2018,169,0,12/13/2024
147,CA-2018-111059,2/3/2018,738,0.2,12/13/2024
148,CA-2018-111150,12/31/2018,662,0,12/13/2024
149,CA-2018-111157,3/2/2018,566,0.2,12/13/2024
150,CA-2018-111192,7/30/2018,766,0,12/13/2024
151,CA-2018-111360,11/24/2018,59,0.7,12/13/2024
152,CA-2018-111451,12/26/2018,434,0.3,12/13/2024
153,CA-2018-111500,8/17/2018,209,0,12/13/2024
154,CA-2018-111773,6/29/2018,379,0.2,12/13/2024
155,CA-2018-111857,4/23/2018,569,0,12/13/2024
156,CA-2018-111871,3/18/2018,266,0.15,12/13/2024
157,CA-2018-111899,5/4/2018,555,0.2,12/13/2024
158,CA-2018-111934,5/5/2018,297,0,12/13/2024
159,CA-2018-111962,9/29/2018,254,0.1,12/13/2024
160,CA-2018-112158,12/2/2018,233,0.13,12/13/2024
161,CA-2018-112291,4/3/2018,427,0,12/13/2024
162,CA-2018-112326,1/4/2018,606,0.4,12/13/2024
163,CA-2018-112403,3/31/2018,398,0.7,12/13/2024
164,CA-2018-112718,12/16/2018,441,0.7,12/13/2024
165,CA-2018-112837,9/11/2018,481,0,12/13/2024
166,CA-2018-112851,9/17/2018,575,0,12/13/2024
167,CA-2018-113047,10/24/2018,45,0,12/13/2024
168,CA-2018-113166,12/24/2018,460,0.2,12/13/2024
169,CA-2018-113257,12/16/2018,673,0.4,12/13/2024
170,CA-2018-113271,7/9/2018,238,0.09,12/13/2024
171,CA-2018-113320,12/12/2018,464,0,12/13/2024
172,CA-2018-113362,9/14/2018,40,0,12/13/2024
173,CA-2018-113383,9/10/2018,685,0,12/13/2024
174,CA-2018-113579,12/13/2018,424,0,12/13/2024
175,CA-2018-113768,5/13/2018,28,0.1,12/13/2024
176,CA-2018-113859,9/13/2018,67,0.3,12/13/2024
177,CA-2018-113880,3/1/2018,778,0.25,12/13/2024
178,CA-2018-113887,4/5/2018,753,0,12/13/2024
