id,postal_code,city_id,last_updated_at
1,1040,204,12/13/2024
2,1453,254,12/13/2024
3,1752,283,12/13/2024
4,1810,11,12/13/2024
5,1841,248,12/13/2024
6,1852,270,12/13/2024
7,1915,40,12/13/2024
8,2038,157,12/13/2024
9,2138,64,12/13/2024
10,2148,274,12/13/2024
11,2149,147,12/13/2024
12,2151,406,12/13/2024
13,2169,394,12/13/2024
14,2740,326,12/13/2024
15,2886,505,12/13/2024
16,2895,527,12/13/2024
17,2908,391,12/13/2024
18,2920,108,12/13/2024
19,3060,323,12/13/2024
20,3301,97,12/13/2024
21,3820,125,12/13/2024
22,4240,255,12/13/2024
23,4401,30,12/13/2024
24,6010,52,12/13/2024
25,6040,275,12/13/2024
26,6360,341,12/13/2024
27,6450,292,12/13/2024
28,6457,297,12/13/2024
29,6460,299,12/13/2024
30,6484,455,12/13/2024
31,6708,507,12/13/2024
32,6810,111,12/13/2024
33,6824,148,12/13/2024
34,7002,32,12/13/2024
35,7011,88,12/13/2024
36,7017,131,12/13/2024
37,7036,257,12/13/2024
38,7050,351,12/13/2024
39,7055,367,12/13/2024
40,7060,379,12/13/2024
41,7090,516,12/13/2024
42,7109,36,12/13/2024
43,7501,368,12/13/2024
44,7601,185,12/13/2024
45,7960,315,12/13/2024
46,8302,51,12/13/2024
47,8360,500,12/13/2024
48,8401,23,12/13/2024
49,8701,241,12/13/2024
50,8861,373,12/13/2024
51,8901,327,12/13/2024
52,10009,330,12/13/2024
53,10011,330,12/13/2024
54,10024,330,12/13/2024
55,10035,330,12/13/2024
56,10550,317,12/13/2024
57,10701,528,12/13/2024
58,10801,329,12/13/2024
59,11520,158,12/13/2024
60,11550,194,12/13/2024
61,11561,263,12/13/2024
62,11572,344,12/13/2024
63,11757,258,12/13/2024
64,12180,489,12/13/2024
65,13021,24,12/13/2024
66,13440,417,12/13/2024
67,13501,496,12/13/2024
68,13601,509,12/13/2024
69,14215,57,12/13/2024
70,14304,333,12/13/2024
71,14609,411,12/13/2024
72,14701,218,12/13/2024
73,16602,8,12/13/2024
74,17403,529,12/13/2024
75,17602,242,12/13/2024
76,18018,39,12/13/2024
77,18103,7,12/13/2024
78,19013,79,12/13/2024
79,19120,375,12/13/2024
80,19134,375,12/13/2024
81,19140,375,12/13/2024
82,19143,375,12/13/2024
83,19601,398,12/13/2024
84,19711,331,12/13/2024
85,19805,522,12/13/2024
86,19901,125,12/13/2024
87,20016,506,12/13/2024
88,20707,247,12/13/2024
89,20735,89,12/13/2024
90,20852,415,12/13/2024
91,20877,162,12/13/2024
92,21044,94,12/13/2024
93,21215,29,12/13/2024
94,21740,186,12/13/2024
95,22153,465,12/13/2024
96,22204,17,12/13/2024
97,22304,5,12/13/2024
98,22801,191,12/13/2024
99,22901,76,12/13/2024
100,22980,512,12/13/2024
101,23223,408,12/13/2024
102,23320,78,12/13/2024
103,23434,468,12/13/2024
104,23464,501,12/13/2024
105,23602,332,12/13/2024
106,23666,189,12/13/2024
107,24153,431,12/13/2024
108,26003,519,12/13/2024
109,27217,61,12/13/2024
110,27360,481,12/13/2024
111,27405,179,12/13/2024
112,27511,69,12/13/2024
113,27514,74,12/13/2024
114,27534,171,12/13/2024
115,27604,395,12/13/2024
116,27707,129,12/13/2024
117,27834,180,12/13/2024
118,27893,523,12/13/2024
119,28027,97,12/13/2024
120,28052,165,12/13/2024
121,28110,309,12/13/2024
122,28205,75,12/13/2024
123,28314,151,12/13/2024
124,28403,522,12/13/2024
125,28540,217,12/13/2024
126,28601,199,12/13/2024
127,28806,20,12/13/2024
128,29203,94,12/13/2024
129,29406,338,12/13/2024
130,29464,316,12/13/2024
131,29483,469,12/13/2024
132,29501,152,12/13/2024
133,29730,413,12/13/2024
134,30062,281,12/13/2024
135,30076,420,12/13/2024
136,30080,459,12/13/2024
137,30188,526,12/13/2024
138,30318,22,12/13/2024
139,30328,445,12/13/2024
140,30344,132,12/13/2024
141,30605,21,12/13/2024
142,31088,504,12/13/2024
143,31204,272,12/13/2024
144,31907,95,12/13/2024
145,32114,114,12/13/2024
146,32127,387,12/13/2024
147,32137,361,12/13/2024
148,32174,355,12/13/2024
149,32216,217,12/13/2024
150,32303,472,12/13/2024
151,32503,371,12/13/2024
152,32712,14,12/13/2024
153,32725,120,12/13/2024
154,32771,446,12/13/2024
155,32839,354,12/13/2024
156,32935,289,12/13/2024
157,33012,198,12/13/2024
158,33021,203,12/13/2024
159,33023,302,12/13/2024
160,33024,370,12/13/2024
161,33030,205,12/13/2024
162,33063,280,12/13/2024
163,33065,103,12/13/2024
