order_id,product_id,ship_date,ship_mode,last_updated_at
3502,873,2021-05-10,First Class,2024-12-13
3502,69,2021-05-10,First Class,2024-12-13
1516,1680,2019-12-26,Second Class,2024-12-13
1516,522,2019-12-26,Second Class,2024-12-13
1516,1562,2019-12-26,Second Class,2024-12-13
1516,247,2019-12-26,Second Class,2024-12-13
660,1040,2018-08-16,Standard Class,2024-12-13
660,620,2018-08-16,Standard Class,2024-12-13
660,1540,2018-08-16,Standard Class,2024-12-13
660,426,2018-08-16,Standard Class,2024-12-13
660,1430,2018-08-16,Standard Class,2024-12-13
660,956,2018-08-16,Standard Class,2024-12-13
892,768,2019-12-15,Standard Class,2024-12-13
5005,738,2021-11-07,Standard Class,2024-12-13
4923,1750,2021-03-17,Standard Class,2024-12-13
2747,875,2020-06-03,Standard Class,2024-12-13
2747,1467,2020-06-03,Standard Class,2024-12-13
4474,277,2019-07-11,Standard Class,2024-12-13
4474,991,2019-07-11,Standard Class,2024-12-13
4201,532,2018-03-15,Standard Class,2024-12-13
911,888,2019-04-24,Standard Class,2024-12-13
4998,1578,2021-08-01,Standard Class,2024-12-13
4998,60,2021-08-01,Standard Class,2024-12-13
4246,1807,2018-11-02,Second Class,2024-12-13
3516,327,2021-11-09,Standard Class,2024-12-13
2142,1139,2020-08-16,Standard Class,2024-12-13
2142,772,2020-08-16,Standard Class,2024-12-13
2142,765,2020-08-16,Standard Class,2024-12-13
2464,519,2020-07-25,Same Day,2024-12-13
787,1406,2018-03-07,Standard Class,2024-12-13
787,338,2018-03-07,Standard Class,2024-12-13
4748,216,2021-01-31,Standard Class,2024-12-13
4748,1733,2021-01-31,Standard Class,2024-12-13
714,85,2018-07-16,Standard Class,2024-12-13
714,921,2018-07-16,Standard Class,2024-12-13
714,573,2018-07-16,Standard Class,2024-12-13
714,1133,2018-07-16,Standard Class,2024-12-13
3423,487,2021-04-16,Standard Class,2024-12-13
3423,478,2021-04-16,Standard Class,2024-12-13
3480,1421,2021-11-18,Standard Class,2024-12-13
1369,590,2019-12-06,First Class,2024-12-13
4652,725,2020-10-01,Standard Class,2024-12-13
2181,391,2020-11-25,Standard Class,2024-12-13
2181,1110,2020-11-25,Standard Class,2024-12-13
3687,1340,2021-09-09,First Class,2024-12-13
3687,1747,2021-09-09,First Class,2024-12-13
2882,718,2021-07-24,Second Class,2024-12-13
2882,816,2021-07-24,Second Class,2024-12-13
3172,1103,2021-10-11,Standard Class,2024-12-13
3172,1287,2021-10-11,Standard Class,2024-12-13
3078,1536,2021-11-11,Standard Class,2024-12-13
2526,1421,2020-03-12,First Class,2024-12-13
2526,94,2020-03-12,First Class,2024-12-13
2526,1132,2020-03-12,First Class,2024-12-13
2526,835,2020-03-12,First Class,2024-12-13
4033,729,2021-05-18,Second Class,2024-12-13
1724,609,2020-07-08,Standard Class,2024-12-13
626,1094,2019-01-03,Standard Class,2024-12-13
626,1562,2019-01-03,Standard Class,2024-12-13
3510,112,2021-04-17,Standard Class,2024-12-13
715,1170,2018-11-20,Standard Class,2024-12-13
3626,468,2021-06-14,First Class,2024-12-13
2206,1341,2020-11-30,Standard Class,2024-12-13
4320,1011,2018-03-25,Standard Class,2024-12-13
4320,185,2018-03-25,Standard Class,2024-12-13
4320,55,2018-03-25,Standard Class,2024-12-13
4384,244,2019-05-04,Standard Class,2024-12-13
4384,225,2019-05-04,Standard Class,2024-12-13
4384,1726,2019-05-04,Standard Class,2024-12-13
4384,173,2019-05-04,Standard Class,2024-12-13
4384,1187,2019-05-04,Standard Class,2024-12-13
3446,297,2021-05-08,Standard Class,2024-12-13
3446,788,2021-05-08,Standard Class,2024-12-13
3446,361,2021-05-08,Standard Class,2024-12-13
3446,731,2021-05-08,Standard Class,2024-12-13
3446,925,2021-05-08,Standard Class,2024-12-13
2692,153,2020-08-30,Standard Class,2024-12-13
141,1325,2018-04-18,Standard Class,2024-12-13
141,1710,2018-04-18,Standard Class,2024-12-13
141,1566,2018-04-18,Standard Class,2024-12-13
3751,541,2021-01-04,Second Class,2024-12-13
3751,379,2021-01-04,Second Class,2024-12-13
3751,353,2021-01-04,Second Class,2024-12-13
3751,1383,2021-01-04,Second Class,2024-12-13
3561,1790,2021-05-02,Standard Class,2024-12-13
3941,1770,2021-02-02,First Class,2024-12-13
129,1457,2018-09-12,Second Class,2024-12-13
129,1030,2018-09-12,Second Class,2024-12-13
129,820,2018-09-12,Second Class,2024-12-13
1995,358,2020-06-16,Standard Class,2024-12-13
2706,37,2020-10-21,Standard Class,2024-12-13
752,708,2018-12-30,First Class,2024-12-13
1917,262,2020-12-01,Standard Class,2024-12-13
2521,1306,2020-11-13,First Class,2024-12-13
1579,473,2019-01-10,Standard Class,2024-12-13
1579,693,2019-01-10,Standard Class,2024-12-13
3924,403,2021-03-27,Standard Class,2024-12-13
1623,1372,2019-11-18,Standard Class,2024-12-13
1623,1220,2019-11-18,Standard Class,2024-12-13
1623,882,2019-11-18,Standard Class,2024-12-13
52,1118,2018-09-14,Second Class,2024-12-13
2241,1828,2020-03-19,Second Class,2024-12-13
2689,69,2020-02-15,Standard Class,2024-12-13
2392,1569,2020-11-28,First Class,2024-12-13
2392,1264,2020-11-28,First Class,2024-12-13
3558,713,2021-09-08,Standard Class,2024-12-13
1456,1354,2019-06-03,Standard Class,2024-12-13
1456,1342,2019-06-03,Standard Class,2024-12-13
478,471,2018-11-05,Standard Class,2024-12-13
1745,912,2020-12-30,First Class,2024-12-13
3870,1137,2021-12-06,First Class,2024-12-13
3024,185,2021-12-30,Standard Class,2024-12-13
2356,1695,2020-12-06,Second Class,2024-12-13
2356,211,2020-12-06,Second Class,2024-12-13
2356,442,2020-12-06,Second Class,2024-12-13
2356,328,2020-12-06,Second Class,2024-12-13
616,1089,2018-06-30,Same Day,2024-12-13
4245,809,2018-09-04,First Class,2024-12-13
3199,79,2021-11-07,Second Class,2024-12-13
1247,1305,2019-04-18,Standard Class,2024-12-13
937,725,2019-12-09,Second Class,2024-12-13
937,108,2019-12-09,Second Class,2024-12-13
937,1259,2019-12-09,Second Class,2024-12-13
2538,1168,2020-02-07,Standard Class,2024-12-13
3604,253,2021-07-12,Standard Class,2024-12-13
3604,1540,2021-07-12,Standard Class,2024-12-13
3604,175,2021-07-12,Standard Class,2024-12-13
3604,519,2021-07-12,Standard Class,2024-12-13
3604,610,2021-07-12,Standard Class,2024-12-13
1250,817,2019-12-17,Standard Class,2024-12-13
2183,335,2020-11-15,Same Day,2024-12-13
2632,588,2020-05-12,Second Class,2024-12-13
3450,343,2021-03-14,Standard Class,2024-12-13
2431,1151,2020-12-21,Standard Class,2024-12-13
